Nivel,Código EDT,Nombre de Elemento,Definición,Organización Responsable,Supuestos,Restricciones,Riesgos,Consideraciones
1,1,Aplicación Móvil,Desarrollo de una aplicación móvil para compra y comparación de precios de medicamentos.,Equipo de desarrollo,Recursos técnicos y humanos disponibles.,Presupuesto y cronograma definidos.,Cambios de alcance durante el desarrollo.,Utilizar metodologías ágiles para iteraciones frecuentes.
2,1.1,Gestión y Planificación,Planificar y gestionar el proyecto de desarrollo de la aplicación móvil.,Gerente de Proyecto,Apoyo de la alta dirección.,Cronograma ajustado.,Retrasos en la planificación.,Involucrar a las partes interesadas durante la planificación.
3,1.1.1,Listado de Épicas,Definición y especificación de las épicas principales de la aplicación móvil.,Equipo de Análisis de Requisitos,Se cuenta con la participación activa de los usuarios clave.,Presupuesto y cronograma definidos.,Cambios de alcance durante la definición de épicas.,Enfoque iterativo para refinar las épicas.
3,1.1.2,Especificación de Historias de Usuario,Definición detallada de las historias de usuario que conforman cada épica.,Equipo de Análisis de Requisitos,Disponibilidad de los usuarios clave para validar las historias.,Alcance y prioridad de las historias definidas.,Conflictos entre necesidades de los usuarios.,Realizar sesiones de refinamiento con el equipo.
3,1.1.3,Product Backlog,Mantenimiento y priorización del backlog de la aplicación móvil.,Equipo de Gestión de Producto,Producto mínimo viable (MVP) definido.,Recursos y capacidad del equipo de desarrollo.,Cambios constantes de prioridades.,Revisiones periódicas del backlog con el equipo.
3,1.1.4,Planificación de Sprints,Definición y planificación de los sprints de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Capacidad del equipo y disponibilidad de recursos.,Duración y objetivos de cada sprint.,Impedimentos que puedan afectar la planificación.,Revisión y ajuste de la planificación en cada sprint.
3,1.1.5,Scrum Board,Gestión y seguimiento del trabajo en el tablero Scrum de la aplicación móvil.,Equipo de Desarrollo,Integración del equipo y compromiso con el proceso Scrum.,Responsabilidades y roles definidos.,Desviaciones en la ejecución de las tareas.,Retrospectivas para mejorar el proceso.
3,1.1.6,Revisión de Sprint,Evaluación y validación de los incrementos entregados en cada sprint.,Equipo de Desarrollo y Stakeholders,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de los stakeholders para la revisión.,Problemas de calidad o funcionalidad en los incrementos.,Retroalimentación de los stakeholders para mejoras.
3,1.1.7,Retrospectiva de Sprint,Análisis y mejora continua del proceso de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Compromiso del equipo con la mejora continua.,Disponibilidad de tiempo para realizar la retrospectiva.,Resistencia al cambio o mejoras propuestas.,Implementar acciones concretas y darles seguimiento.
3,1.1.8,Compilación de Reunión,Registro y documentación de las reuniones y decisiones clave del proyecto.,Equipo de Gestión de Proyecto,Participación y compromiso de los asistentes.,Disponibilidad de tiempo para realizar la compilación.,Inasistencia o falta de aportes relevantes.,Distribuir los registros de manera oportuna.
2,1.2,Diseño,Realizar el diseño de la arquitectura y funcionalidades de la aplicación móvil.,Equipo de Diseño,Acceso a requisitos y necesidades de los usuarios.,Definición clara de los requerimientos.,Cambios en los requisitos durante el diseño.,Realizar pruebas de usabilidad durante el diseño.
3,1.2.1,Resumen de Investigación de Usuario,Recopilación y análisis de información sobre los usuarios y sus necesidades,Equipo de Análisis de Requisitos,Disponibilidad de usuarios clave para entrevistas y validación,Plazo definido para la investigación,Dificultad en obtener información relevante de usuarios,Enfoque iterativo para afinar la investigación
3,1.2.2,Documento Resumen de Definición,Documento que detalla las definiciones y especificaciones de las historias de usuario,Equipo de Análisis de Requisitos,Participación y validación de usuarios clave,Alcance de las historias de usuario acordado,Dificultad en obtener consenso sobre las definiciones,Revisiones frecuentes con el equipo y usuarios
3,1.2.3,Compilación de Ideación,Registro y documentación de los procesos de ideación y diseño de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Técnicas de ideación y diseño aplicadas efectivamente,Tiempo destinado a la compilación de ideas,Dificultad en priorizar y seleccionar las mejores ideas,Retroalimentación continua del equipo
3,1.2.4,Revisión General de Prototipado,Análisis y validación de los prototipos de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Prototipos suficientemente detallados y representativos,Disponibilidad de usuarios clave para la revisión,Problemas de usabilidad o funcionalidad en los prototipos,Iterar sobre los prototipos con base en la retroalimentación
3,1.2.5,Resumen de Pruebas,Registro y análisis de las pruebas realizadas a las historias de usuario,Equipo de Análisis de Requisitos y Testing,Casos de prueba definidos y ejecutados adecuadamente,Disponibilidad de recursos y entornos de prueba,Problemas de funcionalidad o usabilidad identificados en las pruebas,Implementar mejoras iterativas con base en los resultados de las pruebas
2,1.3,Implementación,Desarrollo e implementación de la aplicación móvil.,Equipo de Desarrollo,Disponibilidad de recursos técnicos.,Cronograma de implementación.,Problemas técnicos durante el desarrollo.,Aplicar buenas prácticas de desarrollo de software.
3,1.3.1,Interfaz Base,Diseño y desarrollo de la interfaz de usuario base para la navegación y funcionalidad común de la aplicación móvil.,Equipo de Diseño y Desarrollo,Estándares de diseño de UX/UI definidos.,Compatibilidad con plataformas móviles clave.,Complejidad en alinearse a las pautas de diseño nativo.,Pruebas exhaustivas de usabilidad.
3,1.3.2,Módulo de Compras,"Implementación del flujo de compra de medicamentos en la aplicación móvil, incluyendo carrito, pasarela de pago, etc.",Equipo de Desarrollo,Integración con proveedores de pasarela de pago.,Cumplimiento de normativas y regulaciones.,Problemas de seguridad y fraude.,Pruebas de rendimiento y estrés.
3,1.3.3,Módulo de Seguimiento de Pedidos,Desarrollo del módulo que permite a los usuarios rastrear el estado de sus pedidos de medicamentos.,Equipo de Desarrollo,Integración con sistemas de logística y distribución.,Manejo adecuado de notificaciones push.,Problemas de sincronización de datos.,Pruebas de notificaciones y alertas.
3,1.3.4,Despliegue,Preparación y despliegue de la aplicación móvil en las tiendas de aplicaciones.,Equipo de DevOps,Cumplimiento de los requisitos de las tiendas.,Disponibilidad de recursos de infraestructura.,Problemas en la publicación y aprobación.,Revisiones y pruebas previas al despliegue.
2,1.4,Testing,Planificar y ejecutar pruebas de la aplicación móvil.,Equipo de Pruebas,Entorno de pruebas adecuado.,Plan de pruebas definido.,Defectos no identificados a tiempo.,Automatizar pruebas cuando sea posible.
3,1.4.1,Plan de Pruebas,Definición de los casos de prueba y el plan de ejecución para validar los incrementos de cada sprint.,Equipo de Testing,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de entornos y datos de prueba.,Problemas de calidad o funcionalidad detectados tarde.,Pruebas automatizadas para aumentar cobertura.
3,1.4.2,Compilación de casos Pruebas,Registro y documentación de los casos de prueba diseñados y ejecutados.,Equipo de Testing,Trazabilidad entre historias de usuario y casos de prueba.,Mantenimiento adecuado de la suite de pruebas.,Dificultad para replicar problemas reportados.,Revisión constante de los casos de prueba.
3,1.4.3,Reporte de Ejecución de Pruebas,Análisis y reporte de los resultados de la ejecución de pruebas en cada sprint.,Equipo de Testing,Integración con herramientas de gestión de defectos.,Disponibilidad de informes y métricas de pruebas.,Problemas de comunicación sobre el estado de las pruebas.,Retroalimentación oportuna al equipo de desarrollo.
3,1.4.4,Reporte de Defectos,Documentación y seguimiento de los defectos encontrados durante las pruebas.,Equipo de Testing y Desarrollo,Severidad y prioridad de los defectos claramente definidos.,Proceso de resolución de defectos establecido.,Dificultad en la reproducción y aislamiento de defectos.,Retroalimentación frecuente al equipo de desarrollo.
3,1.4.5,Resumen de Pruebas,"Informe final que resume los resultados, métricas y conclusiones de las pruebas realizadas.",Equipo de Testing,Datos e información de pruebas debidamente registrados.,Disponibilidad de tiempo para la elaboración del informe.,Falta de claridad en los hallazgos o recomendaciones.,Revisión y validación del informe por el equipo.
1,2,Sistema de Autoayuda,Implementación de un portal de autoayuda con asistente virtual para consultas de los clientes.,Equipo de desarrollo,Requisitos de los usuarios definidos.,Presupuesto y cronograma definidos.,Complejidad en la integración del chatbot.,Enfocarse en las consultas más frecuentes.
2,2.1,Gestión de Requisitos,Levantamiento y definición de los requisitos del portal de autoayuda.,Equipo de Análisis,Involucramiento de los usuarios clave.,Requisitos estables.,Cambios en los requisitos.,Realizar workshops de levantamiento de requisitos.
3,2.1.1,Listado de Épicas,Definición y especificación de las épicas principales de la aplicación móvil.,Equipo de Análisis de Requisitos,Se cuenta con la participación activa de los usuarios clave.,Presupuesto y cronograma definidos.,Cambios de alcance durante la definición de épicas.,Enfoque iterativo para refinar las épicas.
3,2.1.2,Especificación de Historias de Usuario,Definición detallada de las historias de usuario que conforman cada épica.,Equipo de Análisis de Requisitos,Disponibilidad de los usuarios clave para validar las historias.,Alcance y prioridad de las historias definidas.,Conflictos entre necesidades de los usuarios.,Realizar sesiones de refinamiento con el equipo.
3,2.1.3,Product Backlog,Mantenimiento y priorización del backlog de la aplicación móvil.,Equipo de Gestión de Producto,Producto mínimo viable (MVP) definido.,Recursos y capacidad del equipo de desarrollo.,Cambios constantes de prioridades.,Revisiones periódicas del backlog con el equipo.
3,2.1.4,Planificación de Sprints,Definición y planificación de los sprints de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Capacidad del equipo y disponibilidad de recursos.,Duración y objetivos de cada sprint.,Impedimentos que puedan afectar la planificación.,Revisión y ajuste de la planificación en cada sprint.
3,2.1.5,Scrum Board,Gestión y seguimiento del trabajo en el tablero Scrum de la aplicación móvil.,Equipo de Desarrollo,Integración del equipo y compromiso con el proceso Scrum.,Responsabilidades y roles definidos.,Desviaciones en la ejecución de las tareas.,Retrospectivas para mejorar el proceso.
3,2.1.6,Revisión de Sprint,Evaluación y validación de los incrementos entregados en cada sprint.,Equipo de Desarrollo y Stakeholders,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de los stakeholders para la revisión.,Problemas de calidad o funcionalidad en los incrementos.,Retroalimentación de los stakeholders para mejoras.
3,2.1.7,Retrospectiva de Sprint,Análisis y mejora continua del proceso de desarrollo de la aplicación móvil.,Equipo de Desarrollo,Compromiso del equipo con la mejora continua.,Disponibilidad de tiempo para realizar la retrospectiva.,Resistencia al cambio o mejoras propuestas.,Implementar acciones concretas y darles seguimiento.
3,2.1.8,Compilación de Reunión,Registro y documentación de las reuniones y decisiones clave del proyecto.,Equipo de Gestión de Proyecto,Participación y compromiso de los asistentes.,Disponibilidad de tiempo para realizar la compilación.,Inasistencia o falta de aportes relevantes.,Distribuir los registros de manera oportuna.
2,2.2,Diseño,Diseño de la arquitectura y funcionalidades del portal de autoayuda.,Equipo de Diseño,Disponibilidad de recursos técnicos.,Definición clara de los requerimientos.,Complejidad en el diseño de la interfaz.,Involucrar a los usuarios durante el diseño.
3,2.2.1,Resumen de Investigación de Usuario,Recopilación y análisis de información sobre los usuarios y sus necesidades,Equipo de Análisis de Requisitos,Disponibilidad de usuarios clave para entrevistas y validación,Plazo definido para la investigación,Dificultad en obtener información relevante de usuarios,Enfoque iterativo para afinar la investigación
3,2.2.2,Documento Resumen de Definición,Documento que detalla las definiciones y especificaciones de las historias de usuario,Equipo de Análisis de Requisitos,Participación y validación de usuarios clave,Alcance de las historias de usuario acordado,Dificultad en obtener consenso sobre las definiciones,Revisiones frecuentes con el equipo y usuarios
3,2.2.3,Compilación de Ideación,Registro y documentación de los procesos de ideación y diseño de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Técnicas de ideación y diseño aplicadas efectivamente,Tiempo destinado a la compilación de ideas,Dificultad en priorizar y seleccionar las mejores ideas,Retroalimentación continua del equipo
3,2.2.4,Revisión General de Prototipado,Análisis y validación de los prototipos de las historias de usuario,Equipo de Análisis de Requisitos y Diseño,Prototipos suficientemente detallados y representativos,Disponibilidad de usuarios clave para la revisión,Problemas de usabilidad o funcionalidad en los prototipos,Iterar sobre los prototipos con base en la retroalimentación
3,2.2.5,Resumen de Pruebas,Registro y análisis de las pruebas realizadas a las historias de usuario,Equipo de Análisis de Requisitos y Testing,Casos de prueba definidos y ejecutados adecuadamente,Disponibilidad de recursos y entornos de prueba,Problemas de funcionalidad o usabilidad identificados en las pruebas,Implementar mejoras iterativas con base en los resultados de las pruebas
2,2.3,Implementación,Desarrollo e implementación del portal de autoayuda.,Equipo de Desarrollo,Disponibilidad de recursos técnicos.,Cronograma de implementación.,Problemas técnicos durante el desarrollo.,Aplicar buenas prácticas de desarrollo de software.
3,1.3.1,Interfaz Base,Diseño y desarrollo de la interfaz de usuario base para la navegación y funcionalidad común de la aplicación móvil.,Equipo de Diseño y Desarrollo,Estándares de diseño de UX/UI definidos.,Compatibilidad con plataformas móviles clave.,Complejidad en alinearse a las pautas de diseño nativo.,Pruebas exhaustivas de usabilidad.
3,1.3.2,FARMACON,Desarrollo e implementación del asistente virtual chatbot FARMACON que brindará asesoría a clientes y prospectos sobre fármacos y enfermedades.,Equipo de Desarrollo,Información de consultas clave de clientes recopilada adecuadamente.,Integración eficaz con el portal de autoayuda.,Dificultades en el entrenamiento del chatbot.,Pruebas exhaustivas de usabilidad y precisión de respuestas.
2,2.4,Testing,Planificar y ejecutar pruebas del portal de autoayuda.,Equipo de Pruebas,Entorno de pruebas adecuado.,Plan de pruebas definido.,Defectos no identificados a tiempo.,Automatizar pruebas cuando sea posible.
3,2.4.1,Plan de Pruebas,Definición de los casos de prueba y el plan de ejecución para validar los incrementos de cada sprint.,Equipo de Testing,Criterios de aceptación claros para cada historia de usuario.,Disponibilidad de entornos y datos de prueba.,Problemas de calidad o funcionalidad detectados tarde.,Pruebas automatizadas para aumentar cobertura.
3,2.4.2,Compilación de casos Pruebas,Registro y documentación de los casos de prueba diseñados y ejecutados.,Equipo de Testing,Trazabilidad entre historias de usuario y casos de prueba.,Mantenimiento adecuado de la suite de pruebas.,Dificultad para replicar problemas reportados.,Revisión constante de los casos de prueba.
3,2.4.3,Reporte de Ejecución de Pruebas,Análisis y reporte de los resultados de la ejecución de pruebas en cada sprint.,Equipo de Testing,Integración con herramientas de gestión de defectos.,Disponibilidad de informes y métricas de pruebas.,Problemas de comunicación sobre el estado de las pruebas.,Retroalimentación oportuna al equipo de desarrollo.
3,2.4.4,Reporte de Defectos,Documentación y seguimiento de los defectos encontrados durante las pruebas.,Equipo de Testing y Desarrollo,Severidad y prioridad de los defectos claramente definidos.,Proceso de resolución de defectos establecido.,Dificultad en la reproducción y aislamiento de defectos.,Retroalimentación frecuente al equipo de desarrollo.
3,2.4.5,Resumen de Pruebas,"Informe final que resume los resultados, métricas y conclusiones de las pruebas realizadas.",Equipo de Testing,Datos e información de pruebas debidamente registrados.,Disponibilidad de tiempo para la elaboración del informe.,Falta de claridad en los hallazgos o recomendaciones.,Revisión y validación del informe por el equipo.
